# [board]   [channelId]   [DcOffset]   [Pedestal]   [Threshold]
# With the help of TriggerMod to be 0, i.e. soft trigger and PlotWave.C program
# the Pedestals of all channels can be coarsely determined.
# In Readout.C, the thresholds can be adjusted again. Caution!
0	0	12000	853	848
0	1	65530	100	500
0	2	12000	953	948
0	3	12000	950	945
0	4	12000	953	948
0	5	12000	954	949
0	6	12000	952	947
0	7	12000	951	946
1	0	12000	-1	-6
1	1	12000	-1	-6
1	2	12000	-1	-6
1	3	12000	-1	-6
1	4	12000	-1	-6
1	5	12000	-1	-6
1	6	12000	-1	-6
1	7	12000	-1	-6
2	0	12000	-1	-6
2	1	12000	-1	-6
2	2	12000	-1	-6
2	3	12000	-1	-6
2	4	12000	-1	-6
2	5	12000	-1	-6
2	6	12000	-1	-6
2	7	12000	-1	-6
3	0	12000	-1	-6
3	1	12000	-1	-6
3	2	12000	-1	-6
3	3	12000	-1	-6
3	4	12000	-1	-6
3	5	12000	-1	-6
3	6	12000	-1	-6
3	7	12000	-1	-6
